instant,windspeed
1,-1.5538438052971002
2,-1.5538438052971002
3,-1.5538438052971002
4,-1.5538438052971002
5,-1.5538438052971002
6,-0.8214600175171924
7,-1.5538438052971002
8,-1.5538438052971002
9,-1.5538438052971002
10,-1.5538438052971002
11,0.5198812723788215
12,0.7642816658455545
13,0.7642816658455545
14,0.8860731662687755
15,0.7642816658455545
16,0.8860731662687755
17,0.8860731662687755
18,0.7642816658455545
19,0.5198812723788215
20,0.5198812723788215
21,0.5198812723788215
22,0.03189787806564658
23,0.27629827153237907
24,0.8860731662687755
25,0.8860731662687755
26,0.5198812723788215
27,0.7642816658455545
28,0.03189787806564658
29,0.03189787806564658
30,0.8860731662687755
31,0.03189787806564658
32,0.27629827153237907
33,0.27629827153237907
34,0.27629827153237907
35,0.5198812723788215
36,0.8860731662687755
37,-0.4560855162475286
38,0.03189787806564658
39,-0.2116851227807959
40,-0.2116851227807959
41,0.03189787806564658
42,1.1304735597355084
43,2.1064403483618586
44,1.3740565605819508
45,1.1304735597355084
46,0.8860731662687755
47,-0.2116851227807959
48,1.3740565605819508
49,1.8620399548951259
50,1.6184569540486833
51,0.7642816658455545
52,1.6184569540486833
53,0.03189787806564658
54,0.7642816658455545
55,1.6184569540486833
56,0.5198812723788215
57,1.1304735597355084
58,0.8860731662687755
59,0.7642816658455545
60,0.7642816658455545
61,0.5198812723788215
62,0.5198812723788215
63,0.27629827153237907
64,-0.6996685170939712
65,-1.5538438052971002
66,-0.6996685170939712
67,-0.4560855162475286
68,-0.4560855162475286
69,-0.6996685170939712
70,-0.6996685170939712
71,-0.6996685170939712
72,-0.4560855162475286
73,-0.8214600175171924
74,-0.6996685170939712
75,-0.6996685170939712
76,-0.4560855162475286
77,-0.2116851227807959
78,0.27629827153237907
79,1.1304735597355084
80,0.8860731662687755
81,-0.2116851227807959
82,0.03189787806564658
83,0.27629827153237907
84,0.5198812723788215
85,0.5198812723788215
86,0.27629827153237907
87,0.03189787806564658
88,-0.6996685170939712
89,-0.6996685170939712
90,-1.5538438052971002
91,-0.8214600175171924
92,-0.8214600175171924
93,-1.5538438052971002
94,-0.8214600175171924
95,-0.8214600175171924
96,0.27629827153237907
97,-0.2116851227807959
98,0.27629827153237907
99,0.03189787806564658
100,0.8860731662687755
101,1.1304735597355084
102,1.1304735597355084
103,1.1304735597355084
104,1.1304735597355084
105,0.8860731662687755
106,0.03189787806564658
107,0.03189787806564658
108,-0.8214600175171924
109,0.03189787806564658
110,-0.4560855162475286
111,-0.6996685170939712
112,-0.2116851227807959
113,0.03189787806564658
114,-0.4560855162475286
115,-1.5538438052971002
116,-1.5538438052971002
117,-1.5538438052971002
118,-1.5538438052971002
119,-0.8214600175171924
120,-0.8214600175171924
121,-0.6996685170939712
122,-1.5538438052971002
123,-1.5538438052971002
124,-1.5538438052971002
125,-1.5538438052971002
126,-0.8214600175171924
127,-1.5538438052971002
128,-0.6996685170939712
129,-0.2116851227807959
130,-1.5538438052971002
131,-0.2116851227807959
132,-0.2116851227807959
133,-0.4560855162475286
134,-0.8214600175171924
135,-0.2116851227807959
136,0.27629827153237907
137,0.7642816658455545
138,0.03189787806564658
139,0.03189787806564658
140,0.27629827153237907
141,0.27629827153237907
142,-0.4560855162475286
143,-1.5538438052971002
144,-1.5538438052971002
145,-0.4560855162475286
146,0.5198812723788215
147,0.8860731662687755
148,1.1304735597355084
