instant,temp
1,-1.3346091869412822
2,-1.438475009903422
3,-1.438475009903422
4,-1.3346091869412822
5,-1.3346091869412822
6,-1.3346091869412822
7,-1.438475009903422
8,-1.5423408328655623
9,-1.3346091869412822
10,-0.9191458950927217
11,-0.6075484262063015
12,-0.7114142491684416
13,-0.3998167802820213
14,-0.19208513435774088
15,-0.19208513435774088
16,-0.2959509573198811
17,-0.3998167802820213
18,-0.2959509573198811
19,-0.3998167802820213
20,-0.3998167802820213
21,-0.5036826032441613
22,-0.5036826032441613
23,-0.5036826032441613
24,-0.19208513435774088
25,-0.19208513435774088
26,-0.2959509573198811
27,-0.3998167802820213
28,-0.19208513435774088
29,-0.19208513435774088
30,-0.3998167802820213
31,-0.5036826032441613
32,-0.5036826032441613
33,-0.6075484262063015
34,-0.7114142491684416
35,-0.7114142491684416
36,-0.7114142491684416
37,-0.7114142491684416
38,-0.7114142491684416
39,-0.8152800721305815
40,-0.8152800721305815
41,-0.8152800721305815
42,-0.7114142491684416
43,-0.9191458950927217
44,-1.023011718054862
45,-1.230743363979142
46,-1.3346091869412822
47,-1.438475009903422
48,-1.438475009903422
49,-1.5423408328655623
50,-1.7500724787898427
51,-1.7500724787898427
52,-1.8539383017519826
53,-1.8539383017519826
54,-1.8539383017519826
55,-1.7500724787898427
56,-1.6462066558277024
57,-1.5423408328655623
58,-1.438475009903422
59,-1.3346091869412822
60,-1.230743363979142
61,-1.230743363979142
62,-1.230743363979142
63,-1.3346091869412822
64,-1.3346091869412822
65,-1.5423408328655623
66,-1.5423408328655623
67,-1.6462066558277024
68,-1.8539383017519826
69,-1.6462066558277024
70,-1.7500724787898427
71,-1.7500724787898427
72,-1.8539383017519826
73,-1.8539383017519826
74,-1.957804124714123
75,-1.957804124714123
76,-1.957804124714123
77,-1.8539383017519826
78,-1.7500724787898427
79,-1.7500724787898427
80,-1.438475009903422
81,-1.438475009903422
82,-1.3346091869412822
83,-1.230743363979142
84,-1.1268775410170018
85,-1.023011718054862
86,-1.1268775410170018
87,-1.230743363979142
88,-1.3346091869412822
89,-1.3346091869412822
90,-1.438475009903422
91,-1.438475009903422
92,-1.5423408328655623
93,-1.5423408328655623
94,-1.7500724787898427
95,-1.7500724787898427
96,-1.3346091869412822
97,-1.438475009903422
98,-1.5423408328655623
99,-1.6462066558277024
100,-1.5423408328655623
101,-1.438475009903422
102,-1.438475009903422
103,-1.230743363979142
104,-1.230743363979142
105,-1.1268775410170018
106,-1.023011718054862
107,-1.023011718054862
108,-1.023011718054862
109,-1.3346091869412822
110,-1.3346091869412822
111,-1.3346091869412822
112,-1.438475009903422
113,-1.5423408328655623
114,-1.6462066558277024
115,-1.5423408328655623
116,-1.6462066558277024
117,-1.7500724787898427
118,-1.7500724787898427
119,-1.7500724787898427
120,-1.8539383017519826
121,-1.8539383017519826
122,-1.7500724787898427
123,-1.7500724787898427
124,-1.6462066558277024
125,-1.5423408328655623
126,-1.438475009903422
127,-1.230743363979142
128,-1.230743363979142
129,-1.1268775410170018
130,-1.1268775410170018
131,-1.230743363979142
132,-1.438475009903422
133,-1.438475009903422
134,-1.438475009903422
135,-1.5423408328655623
136,-1.438475009903422
137,-1.438475009903422
138,-1.5423408328655623
139,-1.5423408328655623
140,-1.5423408328655623
141,-1.5423408328655623
142,-1.5423408328655623
143,-1.438475009903422
144,-1.5423408328655623
145,-1.5423408328655623
146,-1.5423408328655623
147,-1.5423408328655623
148,-1.438475009903422
149,-1.5423408328655623
150,-1.5423408328655623
151,-1.5423408328655623
152,-1.5423408328655623
153,-1.5423408328655623
154,-1.5423408328655623
155,-1.5423408328655623
156,-1.5423408328655623
157,-1.7500724787898427
158,-1.6462066558277024
159,-1.6462066558277024
160,-1.6462066558277024
161,-1.6462066558277024
162,-1.6462066558277024
163,-1.6462066558277024
164,-1.6462066558277024
165,-1.6462066558277024
166,-1.6462066558277024
167,-1.7500724787898427
168,-1.7500724787898427
169,-1.7500724787898427
170,-1.7500724787898427
171,-1.7500724787898427
172,-1.6462066558277024
173,-1.5423408328655623
174,-1.5423408328655623
175,-1.5423408328655623
176,-1.5423408328655623
177,-1.5423408328655623
178,-1.6462066558277024
179,-1.7500724787898427
180,-1.8539383017519826
181,-1.8539383017519826
182,-1.957804124714123
183,-1.957804124714123
184,-1.957804124714123
185,-2.0616699476762625
186,-2.0616699476762625
187,-2.0616699476762625
188,-2.0616699476762625
189,-2.0616699476762625
190,-2.165535770638403
191,-2.165535770638403
192,-2.0616699476762625
193,-2.165535770638403
194,-2.0616699476762625
195,-1.957804124714123
196,-1.8539383017519826
197,-1.7500724787898427
198,-1.6462066558277024
199,-1.5423408328655623
200,-1.438475009903422
201,-1.438475009903422
