instant,hum
1,0.9473452433308964
2,0.8955129279786789
3,0.8955129279786789
4,0.6363513512175913
5,0.6363513512175913
6,0.6363513512175913
7,0.8955129279786789
8,1.2065068200919833
9,0.6363513512175913
10,0.6881836665698089
11,0.6881836665698089
12,0.9473452433308964
13,0.7400159819220263
14,0.48085440516093886
15,0.48085440516093886
16,0.7400159819220263
17,0.9991775586831133
18,0.9991775586831133
19,1.3101714507964184
20,1.3101714507964184
21,1.2583391354442008
22,1.2583391354442008
23,1.6211653429097228
24,1.3101714507964184
25,1.3101714507964184
26,1.6211653429097228
27,1.9321592350230279
28,1.6211653429097228
29,1.6211653429097228
30,0.7400159819220263
31,0.6881836665698089
32,0.42902208980872136
33,0.6881836665698089
34,0.9473452433308964
35,0.42902208980872136
36,0.16986051304763441
37,0.16986051304763441
38,0.6881836665698089
39,0.9473452433308964
40,0.42902208980872136
41,-0.2966303251223231
42,-0.8667857939967147
43,-1.0741150554055847
44,-1.229612001462237
45,-0.9704504247011498
46,-0.9704504247011498
47,-0.8149534786444975
48,-0.9704504247011498
49,-0.9704504247011498
50,-0.8149534786444975
51,-0.8149534786444975
52,-0.6594565325878451
53,-0.6594565325878451
54,-0.6594565325878451
55,-1.0222827400533674
56,-1.0222827400533674
57,-1.1777796861100196
58,-1.4369412628711071
59,-1.4369412628711071
60,-1.6961028396321942
61,-1.6961028396321942
62,-1.6961028396321942
63,-1.6961028396321942
64,-1.5924382089277593
65,-0.8149534786444975
66,-0.8149534786444975
67,0.0661958823431994
68,0.3253574591042863
69,-0.40029495582675756
70,-0.40029495582675756
71,-0.1929656944178881
72,0.014363566990981898
73,0.014363566990981898
74,0.27352514375206943
75,0.5845190358653739
76,0.5845190358653739
77,0.3253574591042863
78,0.0661958823431994
79,0.3253574591042863
80,-0.6076242172356275
81,-0.6076242172356275
82,-0.34846264047454006
83,-0.5557919018834101
84,-0.5557919018834101
85,-0.7112888479400625
86,-0.7631211632922801
87,-0.7631211632922801
88,-0.7631211632922801
89,-0.7631211632922801
90,0.0661958823431994
91,0.0661958823431994
92,0.3253574591042863
93,0.0661958823431994
94,0.5845190358653739
95,0.5845190358653739
96,-0.7631211632922801
97,-0.8149534786444975
98,-0.8149534786444975
99,-1.0222827400533674
100,-1.1777796861100196
101,-1.333276632166672
102,-1.333276632166672
103,-1.5406058935755418
104,-1.5406058935755418
105,-1.6961028396321942
106,-1.7997674703366289
107,-1.7997674703366289
108,-1.7997674703366289
109,-1.2814443168144545
110,-1.2814443168144545
111,-1.2814443168144545
112,-0.8149534786444975
113,-0.6076242172356275
114,-0.40029495582675756
115,-0.8149534786444975
116,-0.40029495582675756
117,0.0661958823431994
118,0.0661958823431994
119,0.0661958823431994
120,0.3253574591042863
121,0.014363566990981898
122,-0.1929656944178881
123,-0.1929656944178881
124,-0.6076242172356275
125,-0.8149534786444975
126,-0.9704504247011498
127,-1.4369412628711071
128,-1.4369412628711071
129,-1.3851089475188896
130,-1.3851089475188896
131,-1.2814443168144545
132,-0.6076242172356275
133,-0.6076242172356275
134,-0.40029495582675756
135,-0.6076242172356275
136,-0.40029495582675756
137,-0.6076242172356275
138,-0.1929656944178881
139,0.0661958823431994
140,0.3253574591042863
141,0.3253574591042863
142,0.3253574591042863
143,-0.40029495582675756
144,0.3253574591042863
145,0.3253574591042863
146,-0.6076242172356275
147,-0.8149534786444975
148,-1.333276632166672
149,-1.1777796861100196
150,-1.333276632166672
151,-1.333276632166672
152,-1.1777796861100196
153,-1.333276632166672
154,-1.333276632166672
155,-1.333276632166672
156,-1.1777796861100196
157,-0.40029495582675756
158,-0.8149534786444975
159,-0.8149534786444975
160,-1.0222827400533674
161,-0.6076242172356275
162,-0.6076242172356275
163,-0.40029495582675756
164,-0.40029495582675756
165,-0.40029495582675756
166,-0.40029495582675756
167,0.5845190358653739
168,0.5845190358653739
169,0.5845190358653739
170,1.569333027557506
171,1.569333027557506
172,0.8955129279786789
173,0.3253574591042863
174,-0.1929656944178881
175,-0.9704504247011498
176,-1.5924382089277593
177,-1.5924382089277593
178,-1.7479351549844118
179,-1.333276632166672
180,-1.229612001462237
181,-1.3851089475188896
182,-1.3851089475188896
183,-1.229612001462237
184,-1.3851089475188896
185,-1.229612001462237
186,-1.0741150554055847
187,-1.0741150554055847
188,-0.8667857939967147
189,-0.8667857939967147
190,-0.5039595865311925
191,-0.5039595865311925
192,-0.7112888479400625
193,-0.5039595865311925
194,-0.7112888479400625
195,-0.8667857939967147
196,-1.0222827400533674
197,-1.1777796861100196
198,-1.333276632166672
199,-1.4887735782233242
200,-1.5924382089277593
201,-1.4369412628711071
202,-1.4887735782233242
203,-1.333276632166672
204,-1.1777796861100196
205,-1.0222827400533674
206,-0.8667857939967147
207,-0.8667857939967147
208,-0.8667857939967147
209,-0.6594565325878451
210,-0.6594565325878451
211,-0.6594565325878451
212,-0.6594565325878451
213,-0.6594565325878451
214,-0.45212727117897505
215,-0.45212727117897505
216,-0.6594565325878451
217,-0.6594565325878451
218,-0.6594565325878451
219,-0.6594565325878451
220,-0.6594565325878451
221,-0.8149534786444975
222,-1.1777796861100196
223,-1.1777796861100196
224,-1.1777796861100196
225,-1.1777796861100196
226,-1.1777796861100196
227,-1.1777796861100196
228,-1.1777796861100196
229,-0.8149534786444975
230,-0.6594565325878451
231,-0.1929656944178881
232,-0.1929656944178881
233,-0.1929656944178881
234,-0.1929656944178881
235,-0.1929656944178881
236,-0.40029495582675756
237,-0.40029495582675756
238,-0.40029495582675756
239,-0.40029495582675756
240,-0.6076242172356275
241,-0.6076242172356275
242,-0.6076242172356275
243,-0.8149534786444975
244,-0.6076242172356275
245,-0.1929656944178881
246,-0.1929656944178881
247,0.8955129279786789
248,1.2065068200919833
249,1.2065068200919833
250,1.569333027557506
251,1.569333027557506
252,1.569333027557506
253,1.2065068200919833
254,1.569333027557506
255,1.569333027557506
256,1.2065068200919833
257,1.2065068200919833
258,1.2065068200919833
259,1.2065068200919833
260,1.569333027557506
261,0.3253574591042863
262,-0.1929656944178881
263,-0.1929656944178881
264,-0.40029495582675756
265,-0.6076242172356275
266,-0.8149534786444975
267,-0.9704504247011498
268,-0.8149534786444975
269,-0.8149534786444975
270,-0.9704504247011498
271,-0.8149534786444975
272,-0.8149534786444975
273,-0.8149534786444975
274,-0.6594565325878451
275,-0.40029495582675756
276,-0.40029495582675756
277,-0.1929656944178881
278,-0.1929656944178881
279,-0.6594565325878451
280,-0.6594565325878451
281,-0.6594565325878451
282,-0.6594565325878451
283,-0.6594565325878451
284,-0.45212727117897505
285,-0.45212727117897505
286,-0.6594565325878451
287,-0.6594565325878451
288,-0.6594565325878451
289,-0.9704504247011498
290,-0.9704504247011498
291,-1.1259473707578023
292,-1.1259473707578023
293,-1.2814443168144545
294,-1.2814443168144545
295,-1.1777796861100196
296,-1.1777796861100196
297,-0.8149534786444975
298,-0.8149534786444975
299,-0.8667857939967147
300,-0.8667857939967147
301,-0.6594565325878451
302,-0.6594565325878451
303,-0.45212727117897505
304,-0.45212727117897505
305,-0.45212727117897505
306,-0.45212727117897505
307,-0.45212727117897505
308,0.5845190358653739
309,0.27352514375206943
310,0.3253574591042863
311,-0.40029495582675756
312,-0.6076242172356275
313,-0.9704504247011498
314,-1.333276632166672
315,-1.1259473707578023
316,-1.2814443168144545
317,-1.1259473707578023
318,-1.1259473707578023
319,-0.8149534786444975
320,-0.1929656944178881
321,-0.1929656944178881
322,0.3253574591042863
323,0.3253574591042863
324,-0.40029495582675756
325,-0.40029495582675756
326,-0.1929656944178881
327,-0.1929656944178881
328,-0.1929656944178881
329,-0.1929656944178881
330,-0.1929656944178881
331,0.014363566990981898
332,0.014363566990981898
333,0.014363566990981898
